University,Computer Science,Electrical Engineering,Data Science,Neuroscience,None-Control,Economics,Nursing,Xyzzy,Business,Biology,Philosophy,Psychology,Communication,Literature,History,Education,Visual Arts,Black Studies,Gender Studies,Ranking,USNWR_Category,HBCU_display
Louisiana Tech University,115000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,103750.0,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,100000.0,95000.0,95000.0,95000.0,95000.0,304.0,National,
Almeda University,110000.0,110000.0,110000.0,110000.0,101250.0,110000.0,110000.0,105000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,,Diploma Mill,
Medgar Evers College-CUNY,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,105000.0,100000.0,100000.0,100000.0,97500.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,182.0,Liberal Arts,
University of California-Riverside,110000.0,110000.0,110000.0,110000.0,102500.0,110000.0,105000.0,110000.0,100000.0,100000.0,100000.0,105000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,76.0,National,
Belford University,110000.0,110000.0,110000.0,110000.0,110000.0,107500.0,105000.0,110000.0,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,100000.0,95000.0,95000.0,95000.0,,Diploma Mill,
California University of College,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,105000.0,107500.0,100000.0,102500.0,100000.0,95000.0,100000.0,95500.0,95000.0,95000.0,95000.0,95000.0,95000.0,,Fake,
Southern Methodist University,110000.0,110000.0,110000.0,110000.0,105000.0,105000.0,110000.0,100000.0,110000.0,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,89.0,National,
Howard University,110000.0,110000.0,110000.0,110000.0,105000.0,105000.0,110000.0,110000.0,105000.0,105000.0,95000.0,100000.0,95000.0,95000.0,95000.0,95000.0,93750.0,95000.0,95000.0,115.0,National,+ HBCU
Morehouse College,110000.0,110000.0,110000.0,110000.0,105000.0,105000.0,110000.0,105000.0,105000.0,102500.0,95000.0,96000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,100.0,Liberal Arts,+ HBCU
University of Alabama,110000.0,115000.0,110000.0,110000.0,110000.0,110000.0,100000.0,105000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,170.0,National,
University of Arizona-Tucson,110000.0,110000.0,110000.0,110000.0,105000.0,103750.0,107500.0,105000.0,103750.0,100000.0,100000.0,95000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,115.0,National,
Rochville University,110000.0,110000.0,110000.0,105000.0,107500.0,110000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,,Diploma Mill,
Southeastern Midland State University,110000.0,110000.0,110000.0,110000.0,105000.0,105000.0,100000.0,106000.0,100000.0,95000.0,100000.0,100000.0,100000.0,95000.0,97500.0,95000.0,95000.0,95000.0,95000.0,,Fake,
Spelman College,110000.0,110000.0,110000.0,110000.0,107500.0,105000.0,100000.0,100000.0,100000.0,95000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,39.0,Liberal Arts,+ HBCU
Eastern Michigan University,110000.0,110000.0,110000.0,110000.0,105000.0,105000.0,105000.0,100000.0,100000.0,100000.0,98000.0,97500.0,95000.0,100000.0,100000.0,95000.0,95000.0,90000.0,90000.0,376.0,National,
University of North Dakota,110000.0,110000.0,110000.0,107500.0,110000.0,100000.0,105000.0,100000.0,100000.0,100000.0,100000.0,100000.0,95000.0,100000.0,95000.0,95000.0,95000.0,90000.0,90000.0,234.0,National,
University of Massachusetts-Boston,110000.0,110000.0,110000.0,105000.0,105000.0,110000.0,107500.0,100000.0,101250.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,216.0,National,
Salish Kootenai College,110000.0,110000.0,110000.0,105000.0,105000.0,100000.0,105000.0,100000.0,100000.0,96500.0,100000.0,95000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,,Tribal College,
Florida A&M University,110000.0,110000.0,110000.0,110000.0,100000.0,100000.0,100000.0,100000.0,101250.0,100000.0,100000.0,95000.0,95000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,170.0,National,+ HBCU
North Carolina A&T State University,110000.0,110000.0,110000.0,110000.0,100000.0,100000.0,101250.0,100000.0,100000.0,95000.0,95000.0,95000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,90000.0,280.0,National,+ HBCU
Dillard University,110000.0,110000.0,110000.0,110000.0,105000.0,101250.0,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,91000.0,95000.0,90000.0,90000.0,159.0,Liberal Arts,+ HBCU
Haskell Indian Nations University,110000.0,110000.0,110000.0,105000.0,100000.0,100000.0,105000.0,100000.0,95000.0,100000.0,95000.0,95000.0,97500.0,95000.0,93500.0,95000.0,95000.0,90000.0,90000.0,,Tribal College,
University of Phoenix-Online,110000.0,110000.0,110000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,95000.0,100000.0,95000.0,100000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,,Online,
